AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
0.37,0.0,0.0,0.15,0.0,0.47,0.0,0.24,0.0,0.0,1.09,0.06,0.54,0.0,1.5,0.15,0.26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.55,0.0,0.0,0.35,0.0,0.28,0.0,0.28,0.0,0.0,1.17,0.31,0.39,0.0,1.55,0.39,0.22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
0.32,0.0,0.0,0.59,0.0,0.32,0.0,0.33,0.0,0.0,1.11,0.38,0.19,0.0,1.55,0.4,0.16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
0.58,0.0,0.0,0.59,0.0,0.59,0.0,0.0,0.0,0.0,1.09,0.08,0.15,0.0,1.55,0.27,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
0.14,0.2,0.15,0.82,0.0,1.08,0.0,0.11,0.0,0.0,1.86,0.74,1.35,0.0,1.02,0.64,0.57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,0.0,0.03,1.09,0.0,1.09,0.0,0.02,0.0,0.0,1.56,0.83,1.05,0.0,0.98,0.46,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.14,0.14,0.03,0.83,0.0,0.71,0.0,0.1,0.0,0.0,1.59,0.61,0.81,0.0,1.02,0.58,0.54,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,0.0,0.09,0.99,0.0,1.44,0.0,0.36,0.0,0.0,1.52,0.59,1.02,0.0,0.97,0.43,0.67,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.82,0.0,1.11,0.0,0.27,0.0,0.0,1.56,0.67,1.17,0.0,1.06,0.69,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.94,0.0,0.63,0.0,0.11,0.0,0.0,1.74,0.69,1.07,0.0,1.01,0.4,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.09,0.03,0.0,1.12,0.0,1.02,0.0,0.18,0.0,0.0,1.5,0.62,0.83,0.03,1.03,0.64,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
1.05,1.06,0.0,2.05,0.0,0.56,0.0,0.0,0.0,0.0,2.07,0.98,1.42,0.15,0.0,0.0,0.27,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.52,0.92,0.0,1.95,0.0,0.02,0.0,0.0,0.0,0.0,1.97,1.16,1.63,0.46,0.0,0.0,0.16,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.49,0.82,0.0,1.63,0.0,0.0,0.0,0.0,0.0,0.0,2.06,1.12,1.04,0.31,0.0,0.0,0.23,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
