AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
0.65,0.0,0.0,0.71,0.0,0.19,0.0,0.05,0.0,0.0,0.87,0.0,1.05,0.0,1.6,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.77,0.03,0.0,0.48,0.0,0.8,0.12,0.0,0.0,0.0,1.02,0.0,1.26,0.0,1.38,0.03,0.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.5,0.11,0.0,0.64,0.0,1.25,0.0,0.17,0.0,0.0,1.14,0.0,1.38,0.0,1.56,0.32,0.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.63,0.21,0.0,1.08,0.0,0.76,0.0,0.24,0.0,0.0,1.21,0.0,1.05,0.0,1.53,0.27,0.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.52,0.28,0.0,1.05,0.0,0.67,0.0,0.28,0.0,0.0,1.34,0.0,1.5,0.0,1.44,0.26,0.24,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.58,0.12,0.0,0.94,0.0,1.07,0.0,0.08,0.0,0.0,1.43,0.0,1.48,0.0,1.53,0.48,0.47,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.82,0.32,0.0,1.44,0.0,0.51,0.0,0.3,0.0,0.0,1.51,0.08,1.5,0.0,1.67,0.03,0.48,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.97,0.33,0.0,0.72,0.0,0.41,0.0,0.18,0.0,0.0,1.32,0.17,1.24,0.0,1.63,0.38,0.34,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.76,0.11,0.0,1.02,0.0,0.62,0.0,0.15,0.0,0.0,1.54,0.0,1.27,0.0,1.54,0.04,0.32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.34,0.0,0.12,0.6,0.0,0.7,0.0,0.06,0.0,0.0,0.88,0.0,0.94,0.0,1.31,0.0,0.47,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.48,0.0,0.0,0.63,0.0,0.49,0.0,0.0,0.0,0.0,0.97,0.0,1.11,0.0,1.26,0.0,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.48,0.0,0.19,0.48,0.0,1.21,0.0,0.0,0.0,0.0,1.18,0.0,1.23,0.0,1.33,0.0,0.39,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.58,0.0,0.05,1.06,0.0,0.93,0.0,0.0,0.0,0.0,0.9,0.0,0.71,0.0,1.24,0.0,0.44,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.69,0.02,0.1,0.89,0.0,0.68,0.0,0.0,0.0,0.0,1.11,0.0,1.26,0.0,1.45,0.0,0.53,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.44,0.0,0.0,1.08,0.0,0.64,0.0,0.0,0.0,0.0,0.98,0.0,0.78,0.0,1.22,0.0,0.35,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.59,0.0,0.02,0.39,0.0,1.05,0.02,0.08,0.0,0.0,1.12,0.0,0.97,0.0,1.5,0.24,0.51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.43,0.0,0.14,0.61,0.0,0.61,0.0,0.0,0.0,0.0,1.1,0.0,0.83,0.0,1.42,0.0,0.44,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.82,0.0,0.26,0.27,0.0,0.94,0.0,0.58,0.0,0.0,0.98,0.31,0.37,0.0,0.75,0.0,0.37,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0.68,0.0,0.47,0.49,0.0,1.07,0.0,0.56,0.0,0.0,1.27,0.54,0.63,0.0,0.79,0.01,0.17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
